frame,x
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
25,0
35,0
45,0
55,0
65,0
75,0
85,0
95,0
105,0
115,0
125,0
135,0
145,0
155,0
165,0
175,0
185,0
195,0
205,0
215,10
225,30
235,50
245,70
255,90
265,120
275,140
285,170
295,190
305,200
315,230
325,250
335,280
345,300
355,320
365,350
375,370
385,390
395,420
405,450
415,470
425,480
435,510
445,530
455,550
465,570
475,600
485,610
495,640
505,660
515,690
525,710
535,740
545,760
555,780
565,800
575,830
585,860
595,890
605,910
615,930
625,950
635,990
645,1010
655,1040
665,1070
675,1090
685,1110
695,1140
705,1160
715,1190
725,1210
735,1240
745,1260
755,1290
765,1310
775,1330
785,1350
